j;c;l;lc;m;sp;lp;lb;nlt;nlo;fi;p;f;n;um;uma
B;208;"Colegiul National ""Scoala Centrala”";4061104022;URBAN;Filologie;Limba romana;Limba franceza;26;26;Zi;Umanist;Teoretica;Liceal;8.60;8.46
B;209;Colegiul National ”Emil Racovita”;4061100556;URBAN;Matematica-Informatica;Limba romana;-;26;26;Zi;Real;Teoretica;Liceal;8.92;8.99
B;210;Colegiul National ”Emil Racovita”;4061100556;URBAN;Filologie;Limba romana;-;26;26;Zi;Umanist;Teoretica;Liceal;8.85;8.89
B;276;"Scoala Superioara Comerciala ""Nicolae Kretzulescu""";4061100877;URBAN;Comert;Limba romana;-;24;24;Zi;Servicii;Tehnologica;Liceal;8.75;8.79
B;277;"Scoala Superioara Comerciala ""Nicolae Kretzulescu""";4061100877;URBAN;Economic;Limba romana;-;144;144;Zi;Servicii;Tehnologica;Liceal;8.67;8.75
B;278;"Scoala Superioara Comerciala ""Nicolae Kretzulescu""";4061100877;URBAN;Turism Si alimentatie;Limba romana;-;24;24;Zi;Servicii;Tehnologica;Liceal;8.77;8.82
B;271;"Liceul Teoretic ""Nichita Stanescu""";4061100104;URBAN;Matematica-Informatica;Limba romana;-;52;52;Zi;Real;Teoretica;Liceal;8.10;7.98
B;272;"Liceul Teoretic ""Nichita Stanescu""";4061100104;URBAN;Stiinte Sociale;Limba romana;-;104;104;Zi;Umanist;Teoretica;Liceal;8.00;8.05
B;273;"Liceul Teoretic ""Decebal""";4061100416;URBAN;Matematica-Informatica;Limba romana;-;26;26;Zi;Real;Teoretica;Liceal;8.27;8.14
B;274;"Liceul Teoretic ""Decebal""";4061100416;URBAN;Filologie;Limba romana;-;78;78;Zi;Umanist;Teoretica;Liceal;8.07;8.31
B;275;"Liceul Teoretic ""Decebal""";4061100416;URBAN;Stiinte Sociale;Limba romana;-;78;78;Zi;Umanist;Teoretica;Liceal;8.02;8.06
B;268;"Liceul Teoretic ""Benjamin Franklin""";4061100981;URBAN;Matematica-Informatica;Limba romana;-;52;52;Zi;Real;Teoretica;Liceal;8.42;8.35
