j;lc;l;t;a;p;f;m;sp
B;128;Liceul Tehnologic Sf. Antim Ivireanu;33;Unitate de învăţământ;URBAN;Poiana Muntelui 1 061773;314380278;314380278
B;129;Liceul Tehnologic ”Sfântul Pantelimon”;23;Unitate de învăţământ;URBAN;Hambarului 12A 021904;212559945;212559943
B;130;Liceul Teoretic Alexandru Vlahuţă;50;Unitate de învăţământ;URBAN;Şcoala Floreasca 5 011641;212305292;212338277
B;131;Liceul Teoretic Dante Alighieri;68;Unitate de învăţământ;URBAN;Fuiorului 9 032173;213481950;213481950
B;132;Liceul Teoretic Decebal;12;Unitate de învăţământ;URBAN;Energeticienilor 9-11 032091;213469233;213469233
B;133;Liceul Teoretic Dimitrie Bolintineanu;68;Unitate de învăţământ;URBAN;Rahovei 311 050903;214234060;214234059
B;134;Liceul Teoretic Eugen Lovinescu;52;Unitate de învăţământ;URBAN;Valea lui Mihai 6 061755;214132947;214139165
B;135;Liceul Teoretic Genesis College;22;Unitate de învăţământ;URBAN;STRAULESTI 89A 013334;314250563;314250563
B;136;Liceul Teoretic Ion Barbu;64;Unitate de învăţământ;URBAN;Năbucului 18 050805;214102332;214102332
B;137;Liceul Teoretic Jean Monnet;80;Unitate de învăţământ;URBAN;Monnet Jean 2  010711;212305078;212305078
B;138;Liceul Teoretic Marin Preda;62;Unitate de învăţământ;URBAN;Ruşeţu 17 060553;212202344;212202344
B;139;Liceul Teoretic New Generation School;1;Unitate de învăţământ;URBAN;Str. Agricultori 87 021485;728528437;213224737
B;140;Liceul Teoretic Nichita Stănescu;19;Unitate de învăţământ;URBAN;Pătrăşcanu Lucreţiu 12 030507;213400440;213400021
B;141;Liceul Teoretic Nicolae Iorga;74;Unitate de învăţământ;URBAN;Mihalache Ion 126 011203;212242026;212242026
B;142;Liceul Teoretic Ștefan Odobleja;56;Unitate de învăţământ;URBAN;Dorneasca 7A 051712;214112213;214111093
